MARKET,DEALER,DEPARTMENT,PAYMENT_TYPE,INV_DATE,INVOICE_TYPE,INV_TOTAL_LOCAL,VIN,REG_PLATE,VEH_TYPE,FUEL_TYPE,VEH_DESCRIPTION,ACCOUNT_CODE,CUSTOMER_NAME_AGREGATED,CUSTOMER_ADD_AGREGATED,LAST_NAME,FIRST_NAME,TITLE_,COMPANY_NAME_1,COMPANY_NAME_2,STREET,REGION,CITY,COUNTY,POSTCODE,ADDR_1,ADDR_2,ADDR_3,ADDR_4,ADDR_5,ADDR_6,HOME_TEL,WORK_TEL,PRO_TITLE,MOBILE_1,MOBILE_2,EMAIL_1,EMAIL_2,SALUTATION,PV_CV,CUSTOMER_TYPE
IE,51130,S,R,17/06/2026,380,947.08,WF0DXXGAKDEU00001,201LS00001,C,G,EcoSport 2018,T0095947,Emma Johnson,"BN15 9JH Lancing, 1 Leconfield Road",Smith,Emma,#,#,#,1 Leconfield Road,West Sussex,Lancing,United Kingdom,BN15 9JH,#,#,#,#,Clara,R35PO48,12025550101,12025550101,#,12025550101,#,user001@example.com,#,Mr.                 charlescfriar@gmail.com,PV,I
GB,47114AA,S,R,17/06/2026,380,519.9,WF0DXXGAKDEU00002,201LS00002,C,G,Fiesta 2013,66498,Liam Smith,"BN15 8AB Lancing, 12 South Street",Johnson,Liam,#,#,#,12 South Street,West Sussex,Lancing,United Kingdom,BN15 8AB,#,#,#,#,#,#,12025550102,12025550102,#,12025550102,#,user002@example.com,#,Mr,PV,I
IE,51130,S,W,17/06/2026,380,44.74,WF0DXXGAKDEU00003,201LS00003,T,D,Transit 2020,T0103442,Olivia Brown,"BN15 8CD Lancing, 24 North Road",Williams,Olivia,#,#,#,24 North Road,West Sussex,Lancing,United Kingdom,BN15 8CD,#,#,#,#,Athlone,#,12025550103,12025550103,#,12025550103,#,#,#,Mr.                 jason@avova.ie,CV,I
IE,51041,S,R,17/06/2026,380,458.86,WF0DXXGAKDEU00004,201LS00004,T,D,Transit Custom,10381,Noah Davis,"BN15 8EF Lancing, 36 Manor Road",Brown,Noah,#,#,#,36 Manor Road,West Sussex,Lancing,United Kingdom,BN15 8EF,#,#,#,#,#,#,12025550104,12025550104,#,12025550104,#,user004@example.com,#,Mr,CV,I
IE,51130,S,R,16/06/2026,380,926.34,WF0DXXGAKDEU00005,201LS00005,T,D,Ranger P703M,T0106049,Ava Wilson,"BN15 8GH Lancing, 48 Beach Green",Jones,Ava,#,#,#,48 Beach Green,West Sussex,Lancing,United Kingdom,BN15 8GH,#,#,#,Ballycumber,Tullamore,R35EA22,12025550105,12025550105,#,12025550105,#,user005@example.com,#,Mr.                 peter.fleming@tetrapak.com,CV,I
IE,51041,S,R,18/06/2026,380,243.03,WF0DXXGAKDEU00006,201LS00006,C,G,Focus 2018,22866,Elijah Miller,"BN15 8JK Lancing, 5 Upper Boundstone Lane",Garcia,Elijah,#,#,#,5 Upper Boundstone Lane,West Sussex,Lancing,United Kingdom,BN15 8JK,#,#,#,#,#,#,12025550106,12025550106,#,12025550106,#,user006@example.com,#,Mr,PV,I
GB,83883AA,S,W,15/06/2026,380,65.68,WF0DXXGAKDEU00007,201LS00007,T,D,Transit Custom,T1757200,Sophia Moore,"BN15 8LM Lancing, 17 Greenwood Avenue",Miller,Sophia,#,#,#,17 Greenwood Avenue,West Sussex,Lancing,United Kingdom,BN15 8LM,#,#,#,#,Swindon,SN1 4JP,12025550107,12025550107,#,12025550107,#,#,#,Mr                  yindy52@gmail.com,CV,I
GB,47114AA,S,W,18/06/2026,380,66.09,WF0DXXGAKDEU00008,201LS00008,C,H,PumaB CUV2020,67561,Lucas Taylor,"BN15 8NP Lancing, 29 Orchard Way",Davis,Lucas,#,#,#,29 Orchard Way,West Sussex,Lancing,United Kingdom,BN15 8NP,#,#,#,#,#,#,12025550108,12025550108,#,12025550108,#,user008@example.com,#,Mr,PV,I
IE,51172,S,W,18/06/2026,380,207.09,WF0DXXGAKDEU00009,201LS00009,C,H,PumaB CUV2020,T0041028,Isabella Anderson,"BN15 8QR Lancing, 41 Elm Grove",Rodriguez,Isabella,#,#,#,41 Elm Grove,West Sussex,Lancing,United Kingdom,BN15 8QR,#,#,#,Douglas,Cork,T12Y970,12025550109,12025550109,#,12025550109,#,user009@example.com,#,Mr,PV,I
GB,83556AA,S,F,16/06/2026,380,185.41,WF0DXXGAKDEU00010,201LS00010,C,H,PumaB CUV2020,3143382,Mason Thomas,"BN15 8ST Lancing, 53 Willow Close",Martinez,Mason,#,#,#,53 Willow Close,West Sussex,Lancing,United Kingdom,BN15 8ST,#,#,#,#,#,#,12025550110,12025550110,#,12025550110,#,user010@example.com,#,Mr,PV,I
